sentences,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95
December,-0.9075854420661926,-0.9250054955482483,-0.02689838409423828,0.11352139711380005,0.7807865738868713,0.020703569054603577,0.02083560824394226,1.2544296979904175,-0.6799439787864685,-0.5596717596054077,0.7532064318656921,0.16040316224098206,-1.3003289699554443,-0.4665655493736267,-0.5188857316970825,0.25836923718452454,-0.9287723302841187,-1.2525625228881836,1.4445302486419678,-0.5211267471313477,-1.6567342281341553,0.2589280307292938,-0.5089505314826965,-0.6100075244903564,-0.22388803958892822,-0.19762557744979858,0.9066997170448303,1.1590526103973389,-0.25222086906433105,0.6441312432289124,-0.21108505129814148,1.7131389379501343,0.9879900813102722,0.2955612540245056,-1.5469223260879517,-1.4949212074279785,0.4926069974899292,1.0815621614456177,0.35941433906555176,1.1662285327911377,-0.93384850025177,-0.09141838550567627,-0.6818135976791382,0.401105135679245,-0.037488192319869995,-0.811647355556488,-1.2030951976776123,0.7370434999465942,0.14258891344070435,-0.7225477695465088,0.7826358079910278,-0.0007139444351196289,1.3090347051620483,0.1178056001663208,-0.008267015218734741,-1.0706640481948853,0.6907650232315063,-0.6004908680915833,0.9289587736129761,1.0754034519195557,-1.741153597831726,-0.8614709973335266,1.0739662647247314,0.43632861971855164,1.7396594285964966,1.4582867622375488,-0.11209854483604431,-0.9140164852142334,-0.8433870673179626,-0.43042951822280884,1.466137409210205,-0.21037665009498596,1.71329665184021,0.10073547065258026,0.9156408905982971,-0.006432652473449707,0.16070815920829773,-0.2214326560497284,-0.8013951182365417,-0.0823080837726593,-0.8401657938957214,-0.3758293390274048,-0.5864465236663818,-1.524156928062439,-0.05989557504653931,0.6446099281311035,1.0571398735046387,0.10172330588102341,-0.40502414107322693,1.2956372499465942,-1.2508524656295776,-1.2631810903549194,2.1628658771514893,0.5338621139526367,0.9582319259643555,0.22685614228248596
European,-0.8384312391281128,-1.2310527563095093,0.05782294273376465,0.954463005065918,0.07056492567062378,-0.4894603192806244,0.0192459374666214,1.0014197826385498,-0.7881183624267578,-1.0193254947662354,2.2733535766601562,-0.18860989809036255,-0.7340682148933411,1.4451295137405396,-0.4738391935825348,-0.0778389573097229,-1.3866655826568604,-0.7310740947723389,-0.25812196731567383,-0.14613448083400726,-1.2852604389190674,0.15698015689849854,-0.0870179533958435,-0.07119947671890259,-0.07199043035507202,0.6356748938560486,-0.43000128865242004,1.2832098007202148,-0.5904521942138672,0.34369561076164246,-0.07497061789035797,-1.6953822374343872,1.0996710062026978,-0.11533285677433014,-0.6009390354156494,-1.3377268314361572,1.985116720199585,0.4166141152381897,2.4308876991271973,1.0112926959991455,-0.7438264489173889,1.4084855318069458,0.3822110891342163,-1.0019488334655762,0.3383634090423584,-0.4557630717754364,-0.49688825011253357,1.1790850162506104,0.54116290807724,0.2446652501821518,0.9336037635803223,-0.6966567039489746,-0.11361926794052124,-0.9412981271743774,0.6563053727149963,0.7146627902984619,1.2126140594482422,-0.14475837349891663,-0.5173222422599792,1.2828047275543213,-0.6715661287307739,-0.8543157577514648,-0.5822440385818481,-0.8398023843765259,1.9143283367156982,0.40611618757247925,1.2758949995040894,0.3153654932975769,0.4482036828994751,0.10343903303146362,-0.3426225185394287,-0.6720870733261108,-0.6621189117431641,-0.8890558481216431,-0.7654183506965637,-0.4368557631969452,-0.33817774057388306,-0.41813185811042786,0.35786399245262146,-0.9287661910057068,-0.20690318942070007,-0.7444796562194824,-1.1358917951583862,0.5705522298812866,-1.4024155139923096,1.4646873474121094,0.4753032922744751,1.1939183473587036,0.021447092294692993,-0.6829869747161865,-0.9787669777870178,-0.44041764736175537,2.3908677101135254,0.19024431705474854,-0.8475668430328369,0.9391050338745117
Commission,-1.5617103576660156,-0.5875312685966492,-0.4818953275680542,0.5168996453285217,0.19237332046031952,0.6150833368301392,0.9477164149284363,1.13617742061615,-1.090272068977356,-0.23858404159545898,0.16880136728286743,-0.28637149930000305,-0.9749776124954224,-0.10155817866325378,-0.7484008073806763,0.4770725965499878,-0.7533688545227051,-0.8660662770271301,1.4380422830581665,-0.4907056987285614,-1.2086386680603027,0.14525479078292847,-0.7929785251617432,-0.6059796810150146,0.9575260877609253,0.21385332942008972,0.8777872920036316,1.9663681983947754,-0.07952287793159485,-0.06489449739456177,-0.6310421228408813,0.5444707870483398,1.3801792860031128,0.3518404960632324,-1.3962223529815674,-1.3228676319122314,0.30736231803894043,1.271172046661377,0.8274110555648804,0.2941741943359375,-0.6274473667144775,-0.011118412017822266,-0.4309788942337036,1.0860161781311035,-0.9260735511779785,-0.4815266728401184,-1.039540410041809,1.9423989057540894,0.3721942603588104,-0.33650508522987366,0.46878135204315186,1.3493658304214478,1.299030065536499,-1.11680269241333,0.5808990597724915,-0.3617226183414459,1.517209529876709,-0.03622865676879883,0.6599156260490417,0.11954119801521301,-0.9351696968078613,-0.6463589668273926,0.47024285793304443,-0.24588540196418762,1.5177898406982422,0.19903510808944702,-0.01830524206161499,-0.585541307926178,-0.21835599839687347,-0.19854296743869781,0.5738034844398499,0.4436167776584625,2.5373966693878174,0.20553824305534363,1.4925158023834229,-0.009915709495544434,-0.614105761051178,-0.682123064994812,-0.9111351370811462,-1.08424973487854,-0.3045869469642639,-0.03679439425468445,-1.075051188468933,-0.8284634351730347,-0.6164891719818115,1.0372960567474365,-0.544269323348999,-0.36275506019592285,-0.8677313327789307,-0.4476907253265381,-1.5215303897857666,-0.6903798580169678,2.4420506954193115,-0.2555081844329834,0.5949400067329407,1.1621387004852295
ROM,-1.241674542427063,0.3420792520046234,-0.5530354380607605,0.3965975046157837,-0.22602486610412598,0.0011558234691619873,0.44767817854881287,1.0652283430099487,-0.30199146270751953,-0.9342691898345947,2.1031737327575684,-0.808537483215332,0.10223063081502914,0.458479106426239,-0.8481128811836243,1.4532612562179565,-0.6145357489585876,-1.1967226266860962,0.578458845615387,0.9873477220535278,-0.4110940098762512,-0.21013867855072021,-0.2674773931503296,-1.1871423721313477,0.6281905174255371,0.3790717124938965,0.458670437335968,1.2722500562667847,-0.3031041622161865,1.140769362449646,-0.8089591264724731,-0.28655460476875305,0.518856406211853,-0.6701849699020386,-0.46747422218322754,-1.2866456508636475,-0.06864501535892487,1.0798745155334473,0.9707684516906738,0.46987274289131165,-1.223425269126892,-0.15745137631893158,-0.4345764219760895,0.19090783596038818,-0.30514225363731384,-0.9962390661239624,-0.6100308299064636,1.1683049201965332,1.193958044052124,-0.7091195583343506,1.2893186807632446,1.6310592889785767,0.669126033782959,-0.1565101146697998,-0.4728170931339264,0.026407897472381592,0.28366658091545105,0.40034520626068115,0.6436836123466492,0.26960358023643494,-1.1664386987686157,-0.32154494524002075,-0.09806007146835327,-0.48798978328704834,1.1675670146942139,0.8117111325263977,0.019704461097717285,-0.5247406959533691,0.8584967255592346,-0.5077246427536011,-0.29952874779701233,-1.0243548154830933,0.7498284578323364,-0.8699101209640503,0.8582558035850525,0.21848979592323303,0.15723353624343872,-0.29251083731651306,-0.14014285802841187,-0.7455573678016663,-0.33140748739242554,0.41213446855545044,-0.6870710253715515,-1.6058290004730225,0.7378712892532349,0.650576114654541,0.24646419286727905,0.7533800601959229,-0.67071133852005,-0.5075950622558594,-1.9792077541351318,-0.4140729606151581,1.7453083992004395,0.1905204951763153,-0.01948857307434082,2.2066516876220703
Handbook,-1.821095585823059,-0.06032484769821167,-1.4148586988449097,0.3945961594581604,0.5688685774803162,0.037808552384376526,-0.006702065467834473,1.2891682386398315,-0.6965714693069458,-0.6110278964042664,0.9207267165184021,-0.3787909150123596,-1.006012201309204,-0.21066272258758545,-0.5761328339576721,0.5393323302268982,0.006758987903594971,-0.9679537415504456,0.29297709465026855,1.0170994997024536,-1.7705671787261963,0.006827205419540405,-1.6312565803527832,-0.9011044502258301,0.9196779727935791,0.5355275869369507,0.5208224058151245,1.8609230518341064,-0.0588110089302063,-0.18433886766433716,-0.8434270620346069,0.7945674657821655,-0.023583516478538513,1.1123555898666382,-0.17383548617362976,-1.157905101776123,-0.12430354952812195,0.7192399501800537,1.0853804349899292,-0.2478223443031311,-0.12804344296455383,0.584020733833313,-0.955248236656189,0.39331430196762085,0.32099416851997375,-1.3562917709350586,-0.37202462553977966,-0.057106271386146545,0.9561991095542908,-0.25709524750709534,0.5945976376533508,0.49821358919143677,-0.8266575932502747,-0.5447560548782349,0.9161983728408813,-0.3423834443092346,1.6434390544891357,0.05031438171863556,0.308417409658432,0.2920128107070923,-0.5224199295043945,0.05852752923965454,-0.8484071493148804,-0.8593159914016724,1.085099697113037,0.5582104921340942,0.5831570625305176,-1.085052728652954,-0.15343844890594482,0.8837275505065918,1.4715570211410522,0.4486655294895172,1.5910578966140747,0.2096269428730011,0.5501111745834351,0.7888563275337219,0.03977455198764801,0.02522099018096924,-1.1252225637435913,-0.4850497841835022,0.15082654356956482,0.3474220633506775,-0.44510331749916077,-1.0210020542144775,-0.9341182708740234,1.4391586780548096,-0.4631187319755554,-0.28692686557769775,-0.4025338292121887,0.0027328580617904663,-0.6148685812950134,0.3187459707260132,0.8462017774581909,0.44033557176589966,1.3316776752471924,0.036874622106552124
Case,-1.7583343982696533,-0.7011520266532898,-0.5289518237113953,0.552674412727356,-0.42182618379592896,0.2948331832885742,0.9312459230422974,1.1497539281845093,-0.4373222887516022,-0.7246350049972534,1.5942388772964478,-0.1536320149898529,-0.3642362356185913,-0.10629457235336304,-0.6350678205490112,1.0505201816558838,0.10024172067642212,-1.266772985458374,0.3560224175453186,-0.2861982583999634,0.08538931608200073,0.2613668143749237,-0.11674046516418457,-0.9510367512702942,0.5977285504341125,0.13251787424087524,1.2505983114242554,1.6243565082550049,-0.455260306596756,-0.08155551552772522,0.3553588390350342,-0.16025622189044952,0.7405714392662048,-0.58656245470047,-0.21438388526439667,-0.19497326016426086,0.05292999744415283,0.005014702677726746,-0.3964560031890869,1.1848362684249878,-0.900732159614563,0.43941622972488403,0.2577798068523407,-0.035080552101135254,-0.19888988137245178,-1.4946860074996948,-1.0967719554901123,2.6778969764709473,0.24641013145446777,-0.15499426424503326,0.35697078704833984,0.02696235477924347,1.0875349044799805,-0.9854466915130615,0.27658534049987793,-0.9740568995475769,1.2513827085494995,-0.6744493246078491,1.0361562967300415,-0.3014466166496277,-1.3260037899017334,0.05838112533092499,-0.32044389843940735,-0.6019687652587891,2.720958948135376,0.09305396676063538,0.44531795382499695,-1.2341479063034058,0.9177167415618896,-1.198733925819397,1.0471110343933105,0.28518563508987427,1.6716032028198242,0.08165478706359863,0.011171296238899231,-0.2906804084777832,-0.019350409507751465,-0.3454989790916443,0.3853483200073242,-0.8565558195114136,-0.7554556727409363,-0.32234132289886475,-1.0305085182189941,-1.3324956893920898,-0.15611834824085236,1.8097388744354248,-0.12346616387367249,-0.5168830752372742,0.30504482984542847,0.20436495542526245,-1.1067640781402588,-0.1653261035680771,2.063483238220215,-0.058055050671100616,-0.855146050453186,0.12712311744689941
type,-1.5639221668243408,-1.505698800086975,-0.7897763252258301,0.0994170606136322,-0.5456918478012085,0.3170212507247925,0.22230537235736847,0.752411961555481,-0.26818472146987915,-0.39542195200920105,0.5611128211021423,-1.1106548309326172,-0.8894853591918945,0.10676133632659912,-0.43691548705101013,0.016268938779830933,-0.3779308795928955,-1.750194787979126,0.04739940166473389,0.580639660358429,-0.2895684838294983,0.8134101629257202,-0.36904972791671753,-0.6299175024032593,0.4208703637123108,0.9794236421585083,-0.035886406898498535,1.3122614622116089,0.8246902227401733,-0.32731229066848755,0.04162350296974182,-0.004696786403656006,-0.10724210739135742,0.35977819561958313,-0.33617642521858215,-1.3644379377365112,0.5950647592544556,-0.17415395379066467,2.13852858543396,-0.7687686681747437,0.10585922002792358,-0.4217439293861389,-0.6354267597198486,0.7805371284484863,-0.35754531621932983,-0.928398847579956,0.18245750665664673,-0.34191614389419556,0.777191698551178,-0.20438235998153687,0.37007588148117065,0.5873446464538574,-0.1479291319847107,-0.4340445399284363,0.8593674898147583,-0.6538482904434204,1.3730401992797852,0.09385238587856293,-0.46252840757369995,-0.5749160051345825,-0.6474488377571106,0.14085164666175842,-0.2563977837562561,-0.29209715127944946,1.9371894598007202,1.1190685033798218,-0.8542588949203491,-0.817481517791748,0.1512433886528015,0.8599129319190979,0.506293535232544,0.8899171948432922,1.925654649734497,-0.3442809283733368,-0.3767004609107971,0.05843131244182587,-0.24494992196559906,-0.24560624361038208,0.7897123694419861,-0.07768392562866211,0.04532986879348755,-0.8147910833358765,-1.3823803663253784,-0.4880821108818054,0.3075782060623169,1.3888864517211914,0.2212766855955124,-0.5877155065536499,-1.3928451538085938,0.7321207523345947,-1.1676888465881348,-0.13119016587734222,0.8737029433250427,1.387573480606079,0.9426079988479614,0.4161335825920105
intervention,-1.2752820253372192,-0.44969967007637024,-1.3591634035110474,0.2587544918060303,0.8701782822608948,0.1040041521191597,2.184420585632324,1.3953875303268433,0.01762816309928894,-0.5058268904685974,0.5834779739379883,-0.9167313575744629,-0.1794220209121704,-0.5766968727111816,0.19186103343963623,0.6956108808517456,-0.4196702837944031,-1.6650876998901367,-0.11255538463592529,0.2851775884628296,-0.9813500046730042,0.3672401010990143,0.09844252467155457,-0.7686244249343872,0.09828686714172363,0.2641189694404602,-0.1545618623495102,2.110311508178711,-0.1552525758743286,0.4032471179962158,0.6113848686218262,-0.23056089878082275,0.6673108339309692,-0.12355610728263855,-0.32702335715293884,-1.3246314525604248,-0.09122864902019501,0.6267470121383667,0.7225857973098755,0.008666545152664185,-0.25479331612586975,0.6148460507392883,-0.9442123174667358,0.18428456783294678,-0.5364474654197693,-0.46142369508743286,0.14798074960708618,0.3645906448364258,0.06011494994163513,-0.21309787034988403,-0.06237956881523132,0.5611395835876465,0.7326176762580872,-0.20279699563980103,1.461582064628601,-1.0340090990066528,0.9232718348503113,-0.5361099243164062,0.38221821188926697,0.1773618906736374,-0.6478385329246521,-0.046590447425842285,0.10461105406284332,-0.6230920553207397,0.4605790376663208,0.025885581970214844,-0.4552900195121765,-0.22544565796852112,-0.11711077392101288,-0.14400601387023926,1.284621238708496,0.8627793788909912,1.8101921081542969,-0.28646862506866455,-0.1059129387140274,-0.6078477501869202,-0.5749426484107971,-0.15965691208839417,0.4500686824321747,-1.2300282716751099,-0.329700231552124,-0.5888100862503052,-1.1044533252716064,-0.6487779021263123,-0.24913451075553894,1.3215590715408325,-0.36662301421165466,-0.5293143391609192,-0.6688575744628906,0.4083899259567261,-0.24550172686576843,-0.3183693587779999,1.224630355834961,0.8095259666442871,-0.31040629744529724,1.2971616983413696
level,-1.5975414514541626,-1.6108133792877197,-0.7619475722312927,-0.48790064454078674,0.05001536011695862,0.09936320781707764,0.3123191297054291,1.4523708820343018,-0.17410889267921448,-0.5044222474098206,0.2680734694004059,0.3593357801437378,-0.48846718668937683,0.49578550457954407,-0.016669273376464844,0.4772384464740753,-0.6922280788421631,-1.4620752334594727,1.049818992614746,1.2822072505950928,-0.019015848636627197,0.5497488379478455,0.0033673644065856934,-0.04986871778964996,0.22345000505447388,0.34935975074768066,-0.4716852903366089,1.264856219291687,0.14438140392303467,-0.7667792439460754,0.009130880236625671,0.21593570709228516,1.377374291419983,-0.02171841263771057,0.6069658398628235,-0.6966788172721863,-0.04333609342575073,-0.624321460723877,1.613304853439331,-0.6192237138748169,-0.3828207850456238,0.23483574390411377,-0.46974068880081177,0.49229496717453003,0.24380448460578918,-0.1485327184200287,-0.9876103401184082,0.6868841648101807,0.2793130576610565,-0.613312840461731,-0.08705548942089081,-0.17459115386009216,0.16761641204357147,-0.5827031135559082,0.8312184810638428,-0.794248640537262,1.0546271800994873,-0.5672225952148438,-0.3394736051559448,-0.9772526025772095,-0.8325836658477783,0.5860038995742798,0.4203256666660309,-0.8073605298995972,0.5729244351387024,0.2305597960948944,-0.43160295486450195,-0.893079400062561,1.0748471021652222,0.5527437329292297,-0.205845907330513,0.12745869159698486,1.284188985824585,0.03916333615779877,-0.6766252517700195,0.31269678473472595,-0.6561028361320496,-0.04122519493103027,1.3221396207809448,-1.2953228950500488,-0.535620927810669,-0.7809298038482666,-1.220422625541687,-0.44263073801994324,-0.002162948250770569,1.6515350341796875,0.3153040409088135,0.04633525013923645,-1.234781265258789,1.2645899057388306,-0.6699377298355103,-0.7426857948303223,1.1767582893371582,1.1787269115447998,-0.3349664807319641,1.0406402349472046
action,-0.85616534948349,-0.6465083360671997,-0.7404317855834961,0.4143221974372864,0.007962487637996674,0.33781683444976807,1.4901386499404907,1.5440268516540527,0.39282840490341187,-0.6568740010261536,0.4113999307155609,-0.85930335521698,-0.47878652811050415,-0.6132674217224121,0.3766288757324219,0.5429171323776245,-0.7384886741638184,-1.2389367818832397,0.5795645713806152,0.39195722341537476,0.6407520174980164,0.8157447576522827,0.6786025762557983,-0.3567526340484619,0.07934685051441193,0.9623699188232422,0.13575555384159088,0.7108910083770752,-0.10544729232788086,0.35234329104423523,0.21595433354377747,-0.37303680181503296,0.8969447016716003,-0.8469927906990051,-0.544991135597229,-1.778085708618164,0.6219488382339478,0.06039157509803772,1.0010693073272705,0.40247976779937744,0.016456671059131622,0.6714714169502258,0.1644727885723114,0.18758335709571838,0.0629781186580658,-0.28000032901763916,-1.6763341426849365,-0.2312934398651123,0.022761821746826172,-0.8196784257888794,0.016183674335479736,1.0046968460083008,1.2490077018737793,-0.6485602855682373,0.5491492748260498,-0.44636908173561096,0.7435391545295715,0.10100284963846207,0.4015122354030609,-0.21628767251968384,-0.4265063405036926,0.12788790464401245,-0.03669443726539612,-0.23700234293937683,1.151350736618042,-0.0076847076416015625,-0.21214984357357025,-0.8844568133354187,0.7141515612602234,-0.8979514837265015,0.38221338391304016,0.07276086509227753,1.4475469589233398,-0.5406349301338196,0.7413971424102783,-1.0632067918777466,-0.6512073278427124,-0.24487662315368652,1.1066406965255737,-1.210455298423767,-0.04594237357378006,-0.11957496404647827,-1.8100955486297607,-1.0617306232452393,-0.279323548078537,0.41753485798835754,0.25815334916114807,-0.2230486124753952,-1.0158600807189941,0.6681827306747437,-1.679988980293274,-0.7013617157936096,1.2459232807159424,1.0262638330459595,-0.004778213798999786,0.6503207683563232
